"X","work","home","num_of_workers","BG","origin_lat","origin_lon","dest_lat","dest_lon","distance","duration","dest_time","far"
346,60590754033014,60650301043021,1,60650301043,33.9995933,-117.3546803,33.7509596,-117.8353024,64032,2459,9.68305555555555,"40-80"
347,60590754033021,60650301043028,1,60650301043,33.9977595,-117.3561719,33.7491013,-117.8352253,63823,2398,9.66611111111111,"40-80"
348,60590754043004,60650301043017,1,60650301043,34.0025476,-117.3582775,33.7624415,-117.854087,64094,2523,9.70083333333333,"40-80"
349,60590754044003,60650301043012,1,60650301043,34.0027005,-117.3645093,33.7687052,-117.8527587,62973,2502,9.695,"40-80"
350,60590755052043,60650301043022,1,60650301043,34.000118,-117.3569394,33.7457185,-117.8158616,66017,2601,9.7225,"40-80"
351,60590755061002,60650301043024,1,60650301043,33.999774,-117.3589672,33.7480721,-117.8098439,66225,2596,9.72111111111111,"40-80"
352,60590755151011,60650301043013,1,60650301043,34.004432,-117.3652038,33.7072509,-117.8457449,69720,2740,9.76111111111111,"40-80"
353,60590755151124,60650301043026,1,60650301043,34.0006773,-117.3625596,33.686724,-117.8590924,71826,2870,9.79722222222222,"40-80"
354,60590755151139,60650301043025,1,60650301043,34.0012498,-117.3620103,33.6898048,-117.8577161,70727,2795,9.77638888888889,"40-80"
355,60590755151154,60650301043017,1,60650301043,34.0025476,-117.3582775,33.6869813,-117.8335143,66308,2512,9.69777777777778,"40-80"
356,60590755154101,60650301043012,1,60650301043,34.0027005,-117.3645093,33.6966623,-117.8259244,64614,2551,9.70861111111111,"40-80"
357,60590757014012,60650301043025,1,60650301043,34.0012498,-117.3620103,33.7598686,-117.8214227,62830,2460,9.68333333333333,"40-80"
358,60590758093014,60650301043025,1,60650301043,34.0012498,-117.3620103,33.815958,-117.8212815,57841,2411,9.66972222222222,"40-80"
359,60590758121002,60650301043013,1,60650301043,34.004432,-117.3652038,33.8093816,-117.8338215,56817,2308,9.64111111111111,"40-80"
360,60590760002007,60650301043018,1,60650301043,34.0025766,-117.3569321,33.7823567,-117.8641164,63892,2535,9.70416666666667,"40-80"
361,60590760002010,60650301043019,1,60650301043,34.0021066,-117.3555449,33.7793674,-117.8633254,63265,2402,9.66722222222222,"40-80"
362,60590760002015,60650301043020,1,60650301043,34.0013337,-117.3535595,33.7773869,-117.8634926,66472,2409,9.66916666666667,"40-80"
363,60590760005001,60650301043010,1,60650301043,34.0046433,-117.3693954,33.7848303,-117.8686123,64286,2694,9.74833333333333,"40-80"
